time_s,angle_deg
0.000000,359.280000
0.150168,359.280000
0.247381,359.280000
0.349565,359.280000
0.454018,358.920000
0.559287,358.920000
0.662377,358.560000
0.769705,358.560000
0.860917,358.560000
0.964778,358.560000
1.066250,358.560000
1.170102,358.560000
1.270755,358.560000
1.372488,358.560000
1.469827,358.560000
1.567009,358.560000
1.665329,358.560000
1.761896,358.560000
1.862745,358.560000
1.961806,358.560000
2.065689,358.560000
2.172859,358.560000
2.278351,358.560000
2.370870,358.200000
2.478637,358.200000
2.573888,357.840000
2.677314,357.120000
2.771649,356.400000
2.869847,357.840000
2.981285,359.640000
3.080025,2.160000
3.180748,3.960000
3.283962,6.120000
3.381579,7.920000
3.489033,9.360000
3.596759,10.080000
3.692388,10.800000
3.802960,11.520000
3.905497,12.240000
4.017887,12.960000
4.112896,13.680000
4.222880,14.040000
4.325009,14.400000
4.433245,15.120000
4.536208,15.480000
4.635798,15.840000
4.740423,16.200000
4.841251,16.920000
4.942759,17.280000
5.057770,18.000000
5.156905,18.360000
5.255201,18.360000
5.374697,17.280000
5.477924,15.840000
5.580548,14.400000
5.688879,12.960000
5.796540,11.520000
5.890385,9.720000
5.993219,7.920000
6.103653,6.840000
6.204761,6.120000
6.302487,5.040000
6.414178,4.320000
6.515646,3.600000
6.617391,2.520000
6.722558,1.800000
6.825534,0.720000
6.935938,359.280000
7.034280,358.200000
7.131020,357.840000
7.240372,357.840000
7.344573,358.920000
7.448137,0.360000
7.558165,2.160000
7.666436,4.320000
7.779182,7.200000
7.880441,9.000000
7.978834,9.720000
8.085106,10.440000
8.178336,11.520000
8.285657,12.240000
8.381245,12.600000
8.483939,12.600000
8.591325,13.320000
8.693267,14.040000
8.796013,14.760000
8.898740,15.120000
9.000435,15.480000
9.101484,15.840000
9.205353,16.200000
9.303473,16.920000
9.409572,17.280000
9.514149,18.000000
9.607946,19.080000
9.722946,19.800000
9.828576,20.520000
9.935654,21.240000
10.039089,21.960000
10.140828,23.040000
10.244836,23.760000
10.350638,24.480000
10.452731,25.200000
10.551872,25.920000
10.659512,25.920000
10.767995,25.920000
10.869637,25.560000
10.964257,25.560000
11.070126,25.920000
11.193703,26.280000
11.304218,27.000000
11.408991,26.640000
11.505041,24.840000
11.613815,20.880000
11.711416,16.200000
11.817487,11.160000
11.923633,5.040000
12.022642,357.480000
12.127058,357.480000
12.232768,1.800000
12.327220,5.760000
12.437209,7.560000
12.549909,8.280000
12.650661,7.560000
12.755568,5.040000
12.859072,0.720000
12.959354,357.840000
13.067872,358.920000
13.175662,2.160000
13.271371,2.880000
13.372248,1.440000
13.473209,357.120000
13.570207,358.200000
13.672285,358.920000
13.780212,359.280000
13.892793,357.840000
13.990747,357.840000
14.098589,358.200000
14.208790,357.480000
14.319149,357.840000
14.417752,357.480000
14.535706,358.200000
14.634290,357.480000
14.739127,357.480000
14.849462,357.120000
14.948875,357.480000
15.058524,357.480000
15.160133,357.840000
15.263399,357.840000
15.373237,357.840000
15.499316,357.840000
15.608907,357.840000
15.714034,357.840000
15.822946,357.840000
15.954662,357.840000
16.051615,357.840000
16.159162,357.840000
16.256834,357.840000
16.366005,357.840000
16.496240,357.840000
16.604842,357.840000
16.720787,357.840000
16.828885,357.840000
16.929622,357.840000
17.026479,357.840000
17.136137,357.840000
17.237743,357.840000
17.349122,357.840000
17.453022,357.840000
17.547859,357.840000
17.656250,357.840000
17.757388,357.840000
17.854886,357.840000
17.967507,357.840000
18.064944,357.840000
18.173238,357.840000
18.288487,357.840000
18.390410,357.840000
18.493437,357.840000
18.598866,357.840000
18.706311,357.840000
18.807747,357.840000
18.907881,357.840000
19.016735,357.840000
19.114769,357.840000
19.222821,357.840000
19.331561,357.840000
19.467246,357.840000
19.567190,357.840000
19.677474,357.840000
19.784238,357.840000
19.891292,357.840000
19.987269,357.840000
20.089073,357.840000
20.195745,357.840000
20.299106,357.840000
20.401921,357.840000
20.515352,357.840000
20.620680,357.840000
20.719563,357.840000
20.831571,357.840000
20.927238,357.840000
21.029242,357.840000
21.129787,357.840000
21.244236,357.840000
21.347571,357.840000
21.449941,357.840000
21.545345,357.840000
21.651885,357.840000
21.751277,357.840000
21.850427,357.840000
21.951785,357.840000
22.054920,357.840000
22.151079,357.840000
22.256528,357.840000
22.357645,357.840000
22.458453,357.840000
22.558537,357.840000
22.658567,357.840000
22.759386,357.840000
22.869794,357.840000
22.971334,357.840000
23.080760,357.840000
23.179668,357.840000
23.289317,357.840000
23.395916,357.840000
23.501125,357.840000
23.596808,357.840000
23.699985,357.840000
23.802226,357.840000
23.898765,357.840000
24.002924,357.840000
24.102050,357.840000
24.197053,357.840000
24.303561,357.840000
24.408158,357.840000
24.511111,357.840000
24.608990,357.840000
24.824551,357.840000
25.243434,357.840000
25.740972,357.840000
26.001703,357.840000
26.342201,357.840000
26.720261,357.840000
26.943376,357.840000
27.043261,357.840000
27.148860,357.840000
27.273809,357.840000
27.376389,357.840000
27.478723,357.840000
27.583477,357.840000
27.697552,357.840000
27.802196,357.840000
27.902530,357.840000
28.011071,357.840000
28.116239,357.840000
28.229973,357.840000
28.323612,357.840000
28.432498,357.840000
28.530128,357.840000
28.634233,357.840000
28.738174,357.840000
28.850536,357.840000
28.954868,357.840000
29.065865,357.840000
29.164799,357.840000
29.273089,357.840000
29.380603,357.840000
29.479289,357.840000
30.184753,357.840000
